link,t,x,delta_t,delta_x,q,k,v
link3,240,800.0,120,100.0,0.41666666666666663,0.020833333333333336,19.999999999999996
link3,240,900.0,120,100.0,0.375,0.01875,20.0
link3,360,0.0,120,100.0,0.41666666666666663,0.020833333333333336,19.999999999999996
link3,360,100.0,120,100.0,0.375,0.01875,20.0
link3,360,200.0,120,100.0,0.41666666666666663,0.020833333333333336,19.999999999999996
link3,360,300.0,120,100.0,0.375,0.01875,20.0
link3,360,400.0,120,100.0,0.41666666666666663,0.020833333333333336,19.999999999999996
link3,360,500.0,120,100.0,0.41666666666666663,0.020833333333333336,19.999999999999996
link3,360,600.0,120,100.0,0.375,0.01875,20.0
link3,360,700.0,120,100.0,0.41666666666666663,0.020833333333333336,19.999999999999996
link3,360,800.0,120,100.0,0.375,0.01875,20.0
link3,360,900.0,120,100.0,0.41666666666666663,0.020833333333333336,19.999999999999996
link3,480,0.0,120,100.0,0.5208333333333334,0.030729166666666665,16.949152542372882
link3,480,100.0,120,100.0,0.53125,0.0265625,20.0
link3,480,200.0,120,100.0,0.5,0.025,20.0
link3,480,300.0,120,100.0,0.5,0.025,20.0
link3,480,400.0,120,100.0,0.46875,0.0234375,20.0
link3,480,500.0,120,100.0,0.4375,0.021875,20.0
link3,480,600.0,120,100.0,0.44791666666666663,0.022395833333333334,19.999999999999996
link3,480,700.0,120,100.0,0.41666666666666663,0.020833333333333336,19.999999999999996
link3,480,800.0,120,100.0,0.41666666666666663,0.020833333333333336,19.999999999999996
link3,480,900.0,120,100.0,0.41666666666666663,0.020833333333333336,19.999999999999996
link3,600,0.0,120,100.0,0.8020833333333333,0.0546875,14.666666666666666
link3,600,100.0,120,100.0,0.8020833333333333,0.04010416666666667,19.999999999999996
link3,600,200.0,120,100.0,0.7916666666666667,0.03958333333333333,20.000000000000004
link3,600,300.0,120,100.0,0.8020833333333333,0.04010416666666667,19.999999999999996
link3,600,400.0,120,100.0,0.8020833333333333,0.04010416666666667,19.999999999999996
link3,600,500.0,120,100.0,0.8020833333333333,0.04010416666666667,19.999999999999996
link3,600,600.0,120,100.0,0.8020833333333333,0.04010416666666667,19.999999999999996
link3,600,700.0,120,100.0,0.7916666666666667,0.03958333333333333,20.000000000000004
link3,600,800.0,120,100.0,0.8020833333333333,0.04010416666666667,19.999999999999996
link3,600,900.0,120,100.0,0.7708333333333333,0.03854166666666667,19.999999999999996
link3,720,0.0,120,100.0,0.8020833333333333,0.05520833333333333,14.528301886792452
link3,720,100.0,120,100.0,0.7916666666666667,0.03958333333333333,20.000000000000004
link3,720,200.0,120,100.0,0.8020833333333333,0.04010416666666667,19.999999999999996
link3,720,300.0,120,100.0,0.8020833333333333,0.04010416666666667,19.999999999999996
link3,720,400.0,120,100.0,0.8020833333333333,0.04010416666666667,19.999999999999996
link3,720,500.0,120,100.0,0.8020833333333333,0.04010416666666667,19.999999999999996
link3,720,600.0,120,100.0,0.7916666666666667,0.03958333333333333,20.000000000000004
link3,720,700.0,120,100.0,0.8020833333333333,0.04010416666666667,19.999999999999996
link3,720,800.0,120,100.0,0.8020833333333333,0.04010416666666667,19.999999999999996
link3,720,900.0,120,100.0,0.8020833333333333,0.04010416666666667,19.999999999999996
link3,840,0.0,120,100.0,0.7916666666666667,0.05520833333333333,14.339622641509436
link3,840,100.0,120,100.0,0.8020833333333333,0.04010416666666667,19.999999999999996
link3,840,200.0,120,100.0,0.8020833333333333,0.04010416666666667,19.999999999999996
link3,840,300.0,120,100.0,0.8020833333333333,0.04010416666666667,19.999999999999996
link3,840,400.0,120,100.0,0.8020833333333333,0.04010416666666667,19.999999999999996
link3,840,500.0,120,100.0,0.7916666666666667,0.03958333333333333,20.000000000000004
link3,840,600.0,120,100.0,0.8020833333333333,0.04010416666666667,19.999999999999996
link3,840,700.0,120,100.0,0.8020833333333333,0.04010416666666667,19.999999999999996
link3,840,800.0,120,100.0,0.8020833333333333,0.04010416666666667,19.999999999999996
link3,840,900.0,120,100.0,0.8020833333333333,0.04010416666666667,19.999999999999996
link3,960,0.0,120,100.0,0.8020833333333333,0.05572916666666667,14.39252336448598
link3,960,100.0,120,100.0,0.8020833333333333,0.04010416666666667,19.999999999999996
link3,960,200.0,120,100.0,0.8020833333333333,0.04010416666666667,19.999999999999996
link3,960,300.0,120,100.0,0.8020833333333333,0.04010416666666667,19.999999999999996
link3,960,400.0,120,100.0,0.7916666666666667,0.03958333333333333,20.000000000000004
link3,960,500.0,120,100.0,0.8020833333333333,0.04010416666666667,19.999999999999996
link3,960,600.0,120,100.0,0.8020833333333333,0.04010416666666667,19.999999999999996
link3,960,700.0,120,100.0,0.8020833333333333,0.04010416666666667,19.999999999999996
link3,960,800.0,120,100.0,0.8020833333333333,0.04010416666666667,19.999999999999996
link3,960,900.0,120,100.0,0.7916666666666667,0.03958333333333333,20.000000000000004
link3,1080,0.0,120,100.0,0.6979166666666667,0.04739583333333333,14.725274725274728
link3,1080,100.0,120,100.0,0.7291666666666667,0.036458333333333336,20.0
link3,1080,200.0,120,100.0,0.7604166666666667,0.03802083333333334,20.0
link3,1080,300.0,120,100.0,0.7604166666666667,0.03802083333333334,20.0
link3,1080,400.0,120,100.0,0.7708333333333333,0.03854166666666667,19.999999999999996
link3,1080,500.0,120,100.0,0.7708333333333333,0.03854166666666667,19.999999999999996
link3,1080,600.0,120,100.0,0.7708333333333333,0.03854166666666667,19.999999999999996
link3,1080,700.0,120,100.0,0.7604166666666667,0.03802083333333334,20.0
link3,1080,800.0,120,100.0,0.7604166666666667,0.03802083333333334,20.0
link3,1080,900.0,120,100.0,0.7916666666666667,0.03958333333333333,20.000000000000004
